,L1,L1+L2,L1+L2+L3,L1+L3,L2,L2+L3,L3
L1,1.0,0.9600147809453528,0.9353480227934007,0.9495540454750501,0.8207395422009496,0.7801775310629349,0.7881045468078549
L1+L2,0.9600147809453528,1.0,0.9697167894000294,0.9400243364301606,0.8576858930431297,0.82399819554597,0.7699962332875779
L1+L2+L3,0.9353480227934007,0.9697167894000294,1.0,0.9739024376560957,0.8420262000099911,0.8667439789824514,0.8338229615131322
L1+L3,0.9495540454750501,0.9400243364301606,0.9739024376560957,1.0,0.7995282286477989,0.8318839095485578,0.854334984028961
L2,0.8207395422009496,0.8576858930431297,0.8420262000099911,0.7995282286477989,1.0,0.9473004928692039,0.868443850463975
L2+L3,0.7801775310629349,0.82399819554597,0.8667439789824514,0.8318839095485578,0.9473004928692039,1.0,0.9317515772547311
L3,0.7881045468078549,0.7699962332875779,0.8338229615131322,0.854334984028961,0.868443850463975,0.9317515772547311,1.0
